Riding,PC,NDP,Liberal,Green,Other,Total,PC_Share,NDP_Share,Liberal_Share,Green_Share,Other_Share,Swing_PC,Swing_NDP,Swing_Liberal,Swing_Green,Swing_Other,Predicted_PC_Share,Predicted_NDP_Share,Predicted_Liberal_Share,Predicted_Green_Share,Predicted_Other_Share,Total_Predicted,Predicted_Winner,Win_Probability,margin
Dufferin—Caledon,22911,4967,8678,6518,2869,46127,0.4966939102911527,0.10768096776291543,0.1881327638909966,0.14130552604765104,0.06219784507988813,-0.0031684538774293877,-0.02551582406941584,0.050120432291850946,0.03275050975269183,,0.4995197776193145,0.08316311503783791,0.24114700068192385,0.17617010666092375,,0.9879998320904133,PC,1.0,25.837277693739065
Durham,22614,9168,12276,1981,3281,49320,0.45851581508515815,0.18588807785888078,0.2489051094890511,0.040166261151662615,0.06652473641524737,0.01807896582807708,-0.042421626230709567,0.04710430080742085,0.004681387858601711,,0.4959784665942786,0.1493014055880245,0.3080484707260119,0.04667165709168512,,0.9609182918481427,PC,1.0,18.79299958682667
Eglinton—Lawrence,16605,3801,16081,1513,877,39258,0.4229711141678129,0.09682103010851291,0.40962351622599213,0.03853991543124968,0.022339395791940497,0.025412754620272898,-0.0364850043902786,0.030628503350105023,0.0020258538630913113,,0.4531246018423407,0.06097395453636491,0.4449067751252833,0.040994668496011105,,0.9895376833767582,PC,0.584,0.8217826717057397
Elgin—Middlesex—London,22369,7973,7618,2043,3330,43791,0.5108127240757233,0.18206937498572767,0.1739626863967482,0.04665342193601425,0.07604302253887785,-0.02353786350716326,-0.02755232180061362,0.04628778262798099,0.0061262490980144805,,0.5326444181553007,0.16890394426017524,0.2407577168771312,0.057693920707392855,,0.914822053812432,PC,1.0,29.188670127816952
Essex,24926,13793,4186,989,4615,48780,0.5109881098810988,0.28275932759327593,0.08581385813858139,0.02027470274702747,0.09460844608446084,-0.017563938676202144,-0.08205008297205067,0.04366251908442989,-0.004304941821860483,,0.587703891631454,0.23905923348315486,0.15421573406607111,0.019021140819319937,,0.8395795539743002,PC,1.0,34.86446581482991
Etobicoke Centre,22035,3906,15443,2036,1647,45351,0.4858768274128465,0.08612820003969042,0.3405217084518533,0.04489426914511257,0.03631672950982338,0.006995535930871948,-0.032812076026961734,0.0331149535200612,0.002224105959358612,,0.5097219753685367,0.055138819037028684,0.3864100151982233,0.04872919039621138,,0.9669435244328327,PC,0.997,12.331196017031337
Etobicoke—Lakeshore,17978,8595,17136,2278,1798,47966,0.3748071550681733,0.1791894258433057,0.35725305424675813,0.04749197348121586,0.037484885126964934,0.020050114469137216,-0.039027833737529966,0.04046310755728981,0.006216137455529817,,0.40028386409109484,0.14208785810377092,0.40318204662903,0.05444623117610434,,0.9864431343838798,Liberal,0.532,0.2898182537935168
Etobicoke North,13934,3290,5884,690,1173,25103,0.5550730988328089,0.13106003266541846,0.23439429550252958,0.027486754571166793,0.04672748277098355,-0.028710758216816203,-0.04115830841829017,0.08844812607503154,-0.004241562869821739,,0.5469542502718121,0.09341878472191982,0.33547239425077924,0.02415457075548888,,0.962351678142027,PC,1.0,21.148185602103286
Flamborough—Glanbrook,20306,9995,8970,2392,2202,43951,0.46201451616573,0.22741234556665377,0.20409091943300495,0.05442424518213465,0.05010124911833633,-0.004068544633168691,-0.039086315566029595,0.07674160022322739,-0.0024244455114629023,,0.46771928361043374,0.19234521387382916,0.2868259425201355,0.053109559995601664,,0.9791043208600896,PC,1.0,18.089334109029824
Glengarry—Prescott—Russell,18661,3789,17529,1670,2733,44382,0.4204632508674688,0.08537244828984723,0.39495741516831145,0.03762786715335046,0.06157901852102204,0.01829215452002105,-0.028962627295647317,0.032801453885094915,0.002069387495851366,,0.4557923064443433,0.05860021802888544,0.4443687738859594,0.041238701640811816,,0.9626213500842979,PC,0.604,1.1423532558383909
